System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-1.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[75, 50, 25, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.8
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-1.0,-3.0,1.57,1619.6680549442876,161.96680549442877,10.0,-2.570819127993552
0.0011,-0.9980005168873679,-2.9999960953712317,1.5676635003237767,1618.6872623575866,323.8355317301874,9.998797314004124,-2.5608341549522535
0.006151132150711236,-0.9868886162014106,-2.999889362512672,1.5547237916128227,1613.2414985162595,485.1596815818134,9.992050095713363,-2.5055418868461086
0.05615113215071124,-0.8773026094463577,-2.9912180647910853,1.429194714277846,1559.5885129816306,641.1185328799764,9.919790931367876,-1.970141506639731
0.10615113215071124,-0.7693517986210585,-2.9700848334966707,1.3282476632548148,1509.44347965183,792.0628808451595,9.839089004038215,-1.5360891134937127
0.15615113215071125,-0.663723523801918,-2.939374087879421,1.2494651042259481,1462.2982328528653,938.292704130446,9.752508654769725,-1.1932506814471804
0.20615113215071124,-0.5604941413674063,-2.9013725180911822,1.1882401554242104,1417.5221826370944,1080.0449223941555,9.66182088251629,-0.9226957981886237
0.2561511321507112,-0.4594721862757746,-2.8578418487066988,1.140872367999929,1374.766041088465,1217.521526503002,9.568255591904153,-0.7091604908235869
0.3061511321507112,-0.3603562522337369,-2.810131031971155,1.104441200781956,1333.8525078826542,1350.9067772912674,9.472674695534526,-0.5405593172218346
0.3561511321507112,-0.26281830481481805,-2.75927256354101,1.0766448701974187,1294.7041803554923,1480.3771953268167,9.375690226581412,-0.407342631663024
0.4061511321507112,-0.16654530393133266,-2.7060588650240103,1.0556706313233095,1257.300315304267,1606.1072268572434,9.27774399349271,-0.3019727643456438
0.4561511321507112,-0.07125754357250884,-2.651100767443146,1.0400917918877841,1221.651041896997,1728.272331046943,9.179160965295802,-0.21850467706932086
