t [s],error [m],run_obj,accum_obj
4.111099999999994,3.962384005837919,1594.6987009720153,14529.533428621367
4.161099999999994,3.9591159415057606,1592.1099038285045,14688.744419004219
4.211099999999994,3.955851497067343,1589.5261066849937,14847.697029672718
4.261099999999994,3.9525906814916754,1586.9473095414826,15006.391760626866
4.3110999999999935,3.949333503767404,1584.373512397972,15164.829111866664
4.361099999999993,3.946079972902806,1581.8047152544611,15323.00958339211
4.411099999999993,3.942830097925791,1579.24091811095,15480.933675203205
4.461099999999993,3.9395838878838956,1576.6821209674392,15638.601887299948
4.511099999999993,3.9363413518442836,1574.1283238239282,15796.014719682342
4.561099999999993,3.9331024988937386,1571.5795266804168,15953.172672350383
4.611099999999992,3.9298673381386635,1569.0357295369065,16110.076245304073
4.661099999999992,3.926635878705072,1566.4969323933954,16266.725938543414
4.711099999999992,3.9234081297385877,1563.9631352498843,16423.122252068402
4.761099999999992,3.9201841004044358,1561.4343381063734,16579.26568587904
4.811099999999992,3.9169637998874363,1558.9105409628621,16735.156739975326
4.8610999999999915,3.913747237392,1556.3917438193514,16890.795914357263
4.911099999999991,3.91053442214212,1553.8779466758403,17046.18370902485
4.961099999999991,3.9073253633813625,1551.3691495323294,17201.32062397808
5.011099999999991,3.9041200703728602,1548.8653523888186,17356.207159216963
5.061099999999991,3.9009185523993035,1546.3665552453078,17510.843814741493
5.111099999999991,3.8977208187629304,1543.8727581017968,17665.23109055167
5.1610999999999905,3.8945268787855163,1541.3839609582853,17819.3694866475
5.21109999999999,3.8913367418083658,1538.9001638147745,17973.259503028978
5.26109999999999,3.8881504171922976,1536.4213666712637,18126.901639696105
5.31109999999999,3.884967914317637,1533.947569527753,18280.29639664888
5.36109999999999,3.8817892425842,1531.4787723842417,18433.444273887304
5.41109999999999,3.8786144114112853,1529.0149752407308,18586.345771411376
5.461099999999989,3.875443430237655,1526.55617809722,18739.0013892211
5.511099999999989,3.8722763085215255,1524.1023809537094,18891.41162731647
5.561099999999989,3.869113055740551,1521.6535838101984,19043.576985697488
